"x","y","t","zt","zt1"
732500,3752500,1996,0.087,0
737500,3752500,1996,0.52,0.112
742500,3752500,1996,1.021,0.136
747500,3752500,1996,0.175,0.05
752500,3752500,1996,0.201,0
757500,3752500,1996,0.31,0.045
762500,3752500,1996,0.355,0.046
767500,3752500,1996,0.822,0.076
772500,3752500,1996,1.305,0.065
777500,3752500,1996,0.744,0.026
782500,3752500,1996,1.157,0
787500,3752500,1996,0.972,0
792500,3752500,1996,1.186,0
797500,3752500,1996,1.88,0.018
802500,3752500,1996,2.229,0.132
807500,3752500,1996,0.98,0.338
812500,3752500,1996,0.76,0.182
817500,3752500,1996,0.829,0.05
822500,3752500,1996,0.838,0.052
827500,3752500,1996,1.868,0.415
832500,3752500,1996,1.594,0.759
837500,3752500,1996,2.175,1.023
842500,3752500,1996,0.507,0.505
852500,3752500,1996,0.979,1.284
857500,3752500,1996,1.259,1.159
862500,3752500,1996,1.985,1.307
422500,3757500,1996,0.047,0
472500,3757500,1996,0.174,0
477500,3757500,1996,0.106,0
562500,3757500,1996,0.094,0
567500,3757500,1996,0.101,0
652500,3757500,1996,0.037,0.021
657500,3757500,1996,0.372,0.127
662500,3757500,1996,0.078,0.03
677500,3757500,1996,0.021,0
702500,3757500,1996,0.017,0.022
707500,3757500,1996,0.05,0.043
722500,3757500,1996,0.036,0.94
727500,3757500,1996,0.035,0.726
732500,3757500,1996,0.143,0
737500,3757500,1996,1.466,0.417
742500,3757500,1996,0.66,0.572
747500,3757500,1996,0.724,0.129
752500,3757500,1996,0.399,0.018
757500,3757500,1996,0.297,0
762500,3757500,1996,0.488,0.016
767500,3757500,1996,0.773,0.062
772500,3757500,1996,1.424,0.046
777500,3757500,1996,1.039,0.156
782500,3757500,1996,0.983,0.031
787500,3757500,1996,1.446,0.02
792500,3757500,1996,1.222,0.016
797500,3757500,1996,1.831,0.03
802500,3757500,1996,1.56,0.166
807500,3757500,1996,1.16,0.346
812500,3757500,1996,1.45,0.498
817500,3757500,1996,1.21,0.227
822500,3757500,1996,0.985,0.12
827500,3757500,1996,2.452,1.013
832500,3757500,1996,4.248,1.625
837500,3757500,1996,3.406,1.549
842500,3757500,1996,9.251,0.999
847500,3757500,1996,1.718,0.317
852500,3757500,1996,1.536,0.461
857500,3757500,1996,0.852,0.68
