"x","y","t","zt","zt1"
372500,4035500,1996,2.264,0.717
377500,4035500,1996,3.431,0.698
237500,4040500,1996,0.136,0.338
242500,4040500,1996,0.435,0.225
247500,4040500,1996,1.086,0.119
252500,4040500,1996,2.126,0.193
257500,4040500,1996,1.261,0.086
262500,4040500,1996,1.104,0.116
267500,4040500,1996,0.852,0.24
272500,4040500,1996,1.146,0.358
277500,4040500,1996,1.017,0.222
282500,4040500,1996,1.092,0.267
287500,4040500,1996,0.787,0.475
292500,4040500,1996,0.363,0.356
297500,4040500,1996,0.362,0.101
302500,4040500,1996,0.614,0.074
307500,4040500,1996,1.766,0.134
312500,4040500,1996,3.36,0.357
317500,4040500,1996,3.983,0.052
322500,4040500,1996,3.133,0.129
327500,4040500,1996,3.272,0.425
332500,4040500,1996,3.829,0.767
337500,4040500,1996,3.893,0.381
342500,4040500,1996,10.025,0.043
347500,4040500,1996,2.495,0.05
352500,4040500,1996,5.349,0.283
357500,4040500,1996,1.99,0.43
362500,4040500,1996,1.164,1.833
367500,4040500,1996,2.953,0.755
372500,4040500,1996,9.431,0.666
377500,4040500,1996,4.644,1.508
242500,4045500,1996,0.952,0.303
247500,4045500,1996,1.282,0.242
252500,4045500,1996,1.839,0.245
257500,4045500,1996,1.461,0.05
262500,4045500,1996,1.176,0.067
267500,4045500,1996,0.7,0.262
272500,4045500,1996,0.848,0.515
277500,4045500,1996,0.958,0.237
282500,4045500,1996,1.803,0.262
287500,4045500,1996,0.92,0.284
292500,4045500,1996,1.224,0.268
297500,4045500,1996,0.764,0.217
302500,4045500,1996,1.445,0.277
307500,4045500,1996,2.784,0.206
312500,4045500,1996,2.351,0.06
317500,4045500,1996,3.594,0.115
322500,4045500,1996,2.816,0.403
327500,4045500,1996,4.689,1.379
332500,4045500,1996,5.021,1.828
337500,4045500,1996,5.363,0.482
342500,4045500,1996,14.669,0.116
347500,4045500,1996,8.651,0
352500,4045500,1996,6.026,0.103
357500,4045500,1996,2.216,0.317
362500,4045500,1996,1.154,0.149
367500,4045500,1996,3.614,0.091
372500,4045500,1996,3.87,1.037
377500,4045500,1996,10.74,4.832
237500,4050500,1996,0.849,0.311
242500,4050500,1996,1.28,0.432
